Date,Close,High,Low,Open,Volume,SMA20,SMA50,Signal,Position,Returns,Strategy_Returns,Equity,Buy_Hold
2021-01-28,13817.5498046875,13898.25,13713.25,13810.400390625,637900,,,0,0.0,-0.010735650281904374,-0.0,1.0,0.9856653568275847
2021-01-29,13634.599609375,13966.849609375,13596.75,13946.599609375,753200,14284.602490234374,,0,0.0,-0.013240422354072856,-0.0,1.0,0.9726147312034096
2021-02-01,14281.2001953125,14336.349609375,13661.75,13758.599609375,870500,14297.7375,,0,0.0,0.047423511101338356,0.0,1.0,1.0187395367059597
2021-02-02,14647.849609375,14731.7001953125,14469.150390625,14481.099609375,915000,14323.4849609375,,0,0.0,0.02567357148195737,0.0,1.0,1.0448942190230763
2021-02-03,14789.9501953125,14868.849609375,14574.150390625,14754.900390625,869500,14353.007470703125,,0,0.0,0.009701122671723184,0.0,1.0,1.0550308660207937
2021-02-04,14895.650390625,14913.7001953125,14714.75,14789.0498046875,884700,14390.477490234374,,0,0.0,0.0071467580293813615,0.0,1.0,1.0625709163337729
2021-02-05,14924.25,15014.650390625,14864.75,14952.599609375,935600,14429.822509765625,,0,0.0,0.0019199973566108586,0.0,1.0,1.0646110496843453
2021-02-08,15115.7998046875,15159.900390625,15041.0498046875,15064.2998046875,671200,14468.25,,0,0.0,0.01283480273296811,0.0,1.0,1.078275122494382
2021-02-09,15109.2998046875,15257.099609375,15064.2998046875,15164.150390625,713300,14499.477490234374,,0,0.0,-0.0004300136336804483,-0.0,1.0,1.077811449490851
2021-02-10,15106.5,15168.25,14977.2001953125,15119.0498046875,624800,14526.62998046875,,0,0.0,-0.00018530340410816137,-0.0,1.0,1.0776117273602737
2021-02-11,15173.2998046875,15188.5,15065.400390625,15073.25,500100,14557.052490234375,,0,0.0,0.004421924647502795,0.0,1.0,1.082376845217926
2021-02-12,15163.2998046875,15243.5,15081.0,15186.2001953125,571800,14585.4375,,0,0.0,-0.0006590524229219685,-0.0,1.0,1.0816635021355705
2021-02-15,15314.7001953125,15340.150390625,15243.400390625,15270.2998046875,456000,14629.4875,,0,0.0,0.00998465984153385,0.0,1.0,1.0924635442673964
2021-02-16,15313.4501953125,15431.75,15242.2001953125,15371.4501953125,648500,14681.09501953125,,0,0.0,-8.162092525865194e-05,-0.0,1.0,1.0923743763821019
2021-02-17,15208.900390625,15314.2998046875,15170.75,15279.900390625,504800,14715.48251953125,,0,0.0,-0.006827318687430917,-0.0,1.0,1.0849163883885578
2021-02-18,15118.9501953125,15250.75,15078.0498046875,15238.7001953125,770600,14739.19501953125,,0,0.0,-0.005914312869584326,-0.0,1.0,1.0784998534302883
2021-02-19,14981.75,15144.0498046875,14898.2001953125,15074.7998046875,712200,14758.7650390625,,0,0.0,-0.009074717063029758,-0.0,1.0,1.0687127724078893
2021-02-22,14675.7001953125,15010.099609375,14635.0498046875,14999.0498046875,609900,14773.955029296874,,0,0.0,-0.020428174591586412,-0.0,1.0,1.0468809213048826
2021-02-23,14707.7998046875,14854.5,14651.849609375,14782.25,744100,14797.4,,0,0.0,0.0021872625461001327,0.0,1.0,1.0491707247342796
2021-02-24,14982.0,15008.7998046875,14504.5,14729.150390625,403800,14848.125,,0,0.0,0.01864318245786234,0.0,1.0,1.0687306059849484
2021-02-25,15097.349609375,15176.5,15065.349609375,15079.849609375,803900,14912.114990234375,,0,0.0,0.007699213013950157,0.0,1.0,1.0769589905749546
2021-02-26,14529.150390625,14919.4501953125,14467.75,14888.599609375,1103600,14956.842529296875,,0,0.0,-0.03763569324758598,-0.0,1.0,1.0364268923654458
2021-03-01,14761.5498046875,14806.7998046875,14638.5498046875,14702.5,507300,14980.860009765625,,0,0.0,0.015995389118723446,0.0,1.0,1.0530049438019404
2021-03-02,14919.099609375,14959.099609375,14760.7998046875,14865.2998046875,621700,14994.422509765625,,0,0.0,0.010672985341787733,0.0,1.0,1.0642436501319685
2021-03-03,15245.599609375,15273.150390625,14995.7998046875,15064.400390625,544200,15017.20498046875,,0,0.0,0.021884698711632122,0.0,1.0,1.0875343017708743
2021-03-04,15080.75,15202.349609375,14980.2001953125,15026.75,534900,15026.4599609375,,0,0.0,-0.010812930524138231,-0.0,1.0,1.0757748689232087
2021-03-05,14938.099609375,15092.349609375,14862.099609375,14977.9501953125,640700,15027.15244140625,,0,0.0,-0.009459104528952489,-0.0,1.0,1.065599001988444
2021-03-08,14956.2001953125,15111.150390625,14919.900390625,15002.4501953125,0,15019.1724609375,,0,0.0,0.0012117060677612201,0.0,1.0,1.0668901947649538
2021-03-09,15098.400390625,15126.849609375,14925.4501953125,15049.900390625,675300,15018.627490234376,,0,0.0,0.00950777560179139,0.0,1.0,1.0770339473285306
2021-03-10,15174.7998046875,15218.4501953125,15100.849609375,15202.150390625,404600,15022.04248046875,,0,0.0,0.005060099883821945,0.0,1.0,1.08248384668028
2021-03-12,15030.9501953125,15336.2998046875,14953.599609375,15321.150390625,493200,15014.925,,0,0.0,-0.009479506235763657,-0.0,1.0,1.0722224343055609
2021-03-15,14929.5,15048.400390625,14745.849609375,15048.400390625,467500,15003.235009765625,14699.2769921875,1,0.0,-0.006749419963093084,-0.0,1.0,1.0649855548025826
